tweet_id,rating_numerator,rating_denominator,text,retweet_count,jpg_url,name,img_num,in_reply_to_user_id,in_reply_to_status_id,p2_dog,p1_conf,p3_conf,p1_dog,p3_dog,expanded_urls,favorite_count,p2,source,p3,p2_conf,p1,timestamp,stage,rating
666020888022790149,8,10,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,530,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,,1,0,0,True,0.465074,0.0614285,True,True,https://twitter.com/dog_rates/status/666020888022790149/photo/1,2528,collie,Twitter for iPhone,Shetland_sheepdog,0.156665,Welsh_springer_spaniel,2015-11-15 22:32:08,,0.8
666029285002620928,7,10,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,48,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,,1,0,0,True,0.506826,0.07201,True,True,https://twitter.com/dog_rates/status/666029285002620928/photo/1,132,miniature_pinscher,Twitter for iPhone,Rhodesian_ridgeback,0.07419169999999999,redbone,2015-11-15 23:05:30,,0.7
666033412701032449,9,10,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,47,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,,1,0,0,True,0.596461,0.116197,True,True,https://twitter.com/dog_rates/status/666033412701032449/photo/1,128,malinois,Twitter for iPhone,bloodhound,0.13858399999999998,German_shepherd,2015-11-15 23:21:54,,0.9
666044226329800704,6,10,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,147,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,,1,0,0,True,0.408143,0.222752,True,True,https://twitter.com/dog_rates/status/666044226329800704/photo/1,309,redbone,Twitter for iPhone,miniature_pinscher,0.360687,Rhodesian_ridgeback,2015-11-16 00:04:52,,0.6
666049248165822465,5,10,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,41,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,,1,0,0,True,0.560311,0.154629,True,True,https://twitter.com/dog_rates/status/666049248165822465/photo/1,111,Rottweiler,Twitter for iPhone,Doberman,0.243682,miniature_pinscher,2015-11-16 00:24:50,,0.5
666050758794694657,10,10,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,60,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,,1,0,0,True,0.651137,0.0161992,True,True,https://twitter.com/dog_rates/status/666050758794694657/photo/1,136,English_springer,Twitter for iPhone,Greater_Swiss_Mountain_dog,0.263788,Bernese_mountain_dog,2015-11-16 00:30:50,,1.0
666051853826850816,2,10,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,877,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,,1,0,0,False,0.933012,0.017885299999999996,False,False,https://twitter.com/dog_rates/status/666051853826850816/photo/1,1250,mud_turtle,Twitter for iPhone,terrapin,0.045885400000000014,box_turtle,2015-11-16 00:35:11,,0.2
666055525042405380,10,10,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,261,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,,1,0,0,True,0.692517,0.0544486,True,False,https://twitter.com/dog_rates/status/666055525042405380/photo/1,449,Tibetan_mastiff,Twitter for iPhone,fur_coat,0.0582794,chow,2015-11-16 00:49:46,,1.0
666057090499244032,9,10,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,146,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,,1,0,0,False,0.962465,0.00795896,False,True,https://twitter.com/dog_rates/status/666057090499244032/photo/1,304,shopping_basket,Twitter for iPhone,golden_retriever,0.0145938,shopping_cart,2015-11-16 00:55:59,,0.9
666058600524156928,8,10,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,61,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,,1,0,0,True,0.201493,0.08208610000000001,True,True,https://twitter.com/dog_rates/status/666058600524156928/photo/1,117,komondor,Twitter for iPhone,soft-coated_wheaten_terrier,0.192305,miniature_poodle,2015-11-16 01:01:59,,0.8
666063827256086533,10,10,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,230,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,,1,0,0,True,0.77593,0.07242660000000001,True,True,https://twitter.com/dog_rates/status/666063827256086533/photo/1,494,Tibetan_mastiff,Twitter for iPhone,Labrador_retriever,0.0937178,golden_retriever,2015-11-16 01:22:45,,1.0
